,car_make,car_model,year,price,color,mileage,salesperson
0,Mazda,323,2003,90475.33,silver,124374,Raf Durram
1,Land Rover,Discovery,2013,19745.35,white,178726,Kara Mortel
2,Porsche,928,2019,56391.1,black,60045,Carree Silvester
3,Subaru,Legacy,2003,71396.95,white,10220,Normy Leyre
4,Pontiac,Sunfire,2017,47649.37,white,79833,Aldrich Antushev
5,Lotus,Esprit,2020,48502.95,red,60781,Catha Advani
6,GMC,Savana,2015,10794.2,black,89120,Lucias Heake
7,Kia,Sorento,2003,11271.2,black,116294,Bambie Pereira
8,Toyota,Camry,2013,5535.02,white,173718,Genevra Sacase
9,Volkswagen,GTI,2007,10439.74,silver,55623,Dinny Lago
10,Kia,Sportage,2011,98236.32,red,22176,Guy Biffen
11,Honda,Accord,2012,98553.75,red,4636,Cobb Feldfisher
12,Plymouth,Colt,2019,68959.9,black,123496,Denyse Planke
13,Cadillac,Escalade,2019,85511.3,white,177485,Lissy Goldine
14,Ford,Thunderbird,2022,62210.72,black,150892,Lurleen Gallard
15,Lincoln,Continental Mark VII,2005,40884.85,blue,190773,Stefania Wind
16,Kia,Mohave/Borrego,2001,39574.74,black,196296,Wandis Mordecai
17,Lexus,GS,2002,91853.57,red,49343,Jacintha Kiessel
18,Chevrolet,Express 1500,2015,96711.82,red,146107,Mollie Shew
19,Toyota,Sequoia,2022,82941.4,black,90510,Kynthia Atcherley
20,BMW,6 Series,2001,32106.32,red,94164,Steven Spilling
21,Ford,EXP,2016,24724.88,silver,25168,Stavro O'Shea
22,Pontiac,Sunfire,2015,14280.52,blue,160875,Niven Weins
23,GMC,Savana 3500,2003,33389.28,blue,100331,Lonnie Disley
24,Hummer,H2 SUV,2014,84950.53,blue,154644,Lizette Lawday
25,GMC,Rally Wagon 1500,2010,59606.35,white,27575,Chickie Palser
26,Dodge,Ram Van 3500,2021,59041.4,black,75488,Lanae Vaines
27,Ford,Fairlane,2019,93335.77,silver,7286,Fancie Delnevo
28,Mercedes-Benz,R-Class,2000,36154.13,black,36339,Lorry Dun
29,Chevrolet,Corvette,2018,14681.17,blue,107371,Rossie Drayton
30,Oldsmobile,Cutlass Supreme,2018,29459.9,silver,41115,Keri Cressy
31,Lincoln,Continental,2013,80117.95,blue,174534,Brig Fishbourne
32,BMW,5 Series,2022,26368.8,red,195467,Wylie Ellcome
33,Chevrolet,Express 3500,2012,28402.58,silver,84470,Fayth Giraldo
34,Porsche,Boxster,2002,26449.61,red,64752,Kalila Horick
35,Kia,Sedona,2016,92867.54,black,183260,Skylar Stellin
36,Nissan,NV3500,2014,24787.55,blue,141410,Evelin Olden
37,Oldsmobile,Intrigue,2020,76990.46,black,154328,Meade Mettricke
38,Plymouth,Voyager,2009,38289.83,blue,146319,Stacie Woodington
39,Audi,80,2010,43955.93,red,145044,Sherwin Ramsden
40,GMC,Sierra 1500,2005,98096.69,blue,14800,Albrecht Pettengell
41,Mercedes-Benz,SL-Class,2006,36804.8,black,156076,Mufinella Steffans
42,Buick,Skylark,2007,39164.76,blue,129368,Cheston Skuse
43,Plymouth,Fury,2005,15456.3,red,154266,Tilly Maunsell
44,Mazda,CX-9,2011,67001.16,silver,60089,Enrika Moneti
45,Suzuki,Reno,2011,60477.58,blue,59335,Madelene Vassay
46,Infiniti,J,2021,74156.66,red,181318,Estell Easseby
47,Toyota,4Runner,2006,17806.67,silver,47400,Tulley Harbinson
48,BMW,Z4 M,2000,23462.88,silver,5171,Marlyn Handley
49,Mercedes-Benz,C-Class,2008,28209.15,white,96619,Tamarra Birkin
50,Dodge,Grand Caravan,2004,63225.39,white,36676,Odelle Heddan
51,Buick,Coachbuilder,2002,87732.81,silver,185530,Lorne Crotch
52,Audi,A8,2016,82789.57,white,184248,Keriann Sieghard
53,GMC,Canyon,2012,27479.55,black,86264,Agustin Kondratovich
54,Lincoln,Navigator,2020,99364.69,silver,80226,Kissiah Rymour
55,Lincoln,Town Car,2003,68340.84,white,114419,Pauly MacConnulty
56,GMC,Yukon,2010,22124.74,blue,62681,Milka Auletta
57,Dodge,Intrepid,2004,26242.63,silver,111367,Phil Clue
58,Nissan,Maxima,2005,69414.99,white,182865,Gussie Muncaster
59,Volkswagen,GTI,2012,7770.21,silver,50354,Bancroft Jurick
60,Hyundai,Scoupe,2014,88936.19,black,188268,Saxon Adamides
61,Ford,Escort,2011,27582.25,blue,22421,Trula Innwood
62,Ford,Galaxie,2016,61426.24,blue,65780,Siegfried Kettlesting
63,Plymouth,Laser,2000,75722.54,blue,91539,Elysia Jursch
64,Suzuki,Forenza,2016,5945.88,blue,179289,Corrie Raynard
65,Lexus,LX,2018,62359.13,red,167230,Beitris Gather
66,GMC,Sierra 3500HD,2011,11913.49,white,53956,Marielle Breedy
67,Toyota,FJ Cruiser,2016,19484.84,black,168413,Rafferty Aberkirder
68,Ford,F-Series Super Duty,2021,52695.88,black,19695,Cammy McClean
69,Pontiac,Grand Prix,2013,90143.34,red,67086,Giselbert Haythornthwaite
70,Toyota,Solara,2021,32088.25,white,12276,Bendite Zorzini
71,Toyota,Land Cruiser,2018,6982.98,blue,184334,Freddie Avarne
72,Dodge,Dakota,2006,35298.27,white,55957,Reggie Brobeck
73,Toyota,Land Cruiser,2010,32859.2,red,47595,Erick Rutgers
74,Toyota,4Runner,2011,48124.5,silver,17517,Louise Gower
75,GMC,Sierra Denali,2005,30982.07,silver,35074,Emmaline Kyndred
76,Audi,S4,2006,35698.84,white,41668,Roberta Brooks
77,Chevrolet,Express 3500,2017,42167.66,silver,39638,Trefor McMenamie
78,BMW,525,2002,41658.06,red,25366,Frederigo Devons
79,Studebaker,Avanti,2022,24707.91,silver,106539,Elvera Alsopp
80,Toyota,Paseo,2002,37450.69,silver,119111,Riordan Cayley
81,Lincoln,MKT,2020,60088.37,white,149734,Aurora Jedraszczyk
82,GMC,Yukon XL 1500,2013,95928.01,red,69988,Upton Balma
83,Land Rover,Discovery,2004,54172.35,blue,9271,Neilla Cardillo
84,Renault,Alliance,2018,69485.8,red,73807,Jud Dunican
85,Mercury,Mountaineer,2019,8424.74,white,111841,Tull Brunker
86,Infiniti,M,2005,18018.9,red,139133,Tailor Kleinstub
87,Subaru,Justy,2022,36017.1,red,110734,Godfree Royce
88,Infiniti,QX56,2015,81365.68,red,175342,Yves Hexter
89,Honda,CR-V,2006,60394.04,red,59990,Margarete Atkins
90,Audi,4000,2000,55329.96,blue,156640,Arleyne Clears
91,Mercury,Topaz,2005,98002.37,red,74581,Janos Cassius
92,Mercedes-Benz,Sprinter,2004,37831.97,blue,9346,Byran Doe
93,Bentley,Continental GT,2002,22045.95,white,187155,Clea Crone
94,Dodge,Ram Wagon B350,2003,85217.69,black,167719,Berne Origin
95,Ford,Mustang,2020,95537.82,blue,4521,Nickola Thomazet
96,Dodge,Ram 2500 Club,2001,29367.82,black,15736,Jaclyn Penfold
97,GMC,3500,2017,59181.34,red,116442,Lauri Pincott
98,Audi,Coupe Quattro,2001,63114.82,white,178132,Ronnie Cornelissen
99,Mercury,Villager,2016,50948.31,black,61734,Rosemarie Penna
